,sox,spx,twii
2023-12-01,3738.27001953125,4594.6298828125,17438.349609375
2023-12-04,3693.43994140625,4569.77978515625,17421.48046875
2023-12-05,3672.39990234375,4567.18017578125,17328.009765625
2023-12-06,3645.820068359375,4549.33984375,17360.720703125
2023-12-07,3747.5400390625,4585.58984375,17278.740234375
2023-12-08,3774.169921875,4604.3701171875,17383.990234375
2023-12-11,3902.389892578125,4622.43994140625,17418.33984375
2023-12-12,3930.179931640625,4643.7001953125,17450.630859375
2023-12-13,3990.949951171875,4707.08984375,17468.9296875
2023-12-14,4097.47021484375,4719.5498046875,17653.109375
2023-12-15,4117.0,4719.18994140625,17673.869140625
2023-12-18,4103.7900390625,4740.56005859375,17652.029296875
2023-12-19,4125.56005859375,4768.3701171875,17576.55078125
2023-12-20,4007.659912109375,4698.35009765625,17635.19921875
2023-12-21,4118.58984375,4746.75,17543.740234375
2023-12-22,4132.85009765625,4754.6298828125,17596.630859375
2023-12-25,,,17604.83984375
2023-12-26,4207.4501953125,4774.75,17751.73046875
2023-12-27,4214.58984375,4781.580078125,17891.5
2023-12-28,4208.68017578125,4783.35009765625,17910.369140625
2023-12-29,4175.47021484375,4769.830078125,17930.810546875
2024-01-02,4023.0400390625,4742.830078125,17853.759765625
2024-01-03,3941.2099609375,4704.81005859375,17559.310546875
2024-01-04,3908.85009765625,4688.68017578125,17549.650390625
2024-01-05,3933.489990234375,4697.240234375,17519.140625
2024-01-08,4062.47998046875,4763.5400390625,17572.66015625
2024-01-09,4064.64990234375,4756.5,17535.490234375
2024-01-10,4048.840087890625,4783.4501953125,17465.630859375
2024-01-11,4067.89990234375,4780.240234375,17545.3203125
2024-01-12,4052.429931640625,4783.830078125,17512.830078125
2024-01-15,,,17546.8203125
2024-01-16,4105.93994140625,4765.97998046875,17346.869140625
2024-01-17,4069.949951171875,4739.2099609375,17161.7890625
2024-01-18,4206.52001953125,4780.93994140625,17227.7890625
2024-01-19,4375.64990234375,4839.81005859375,17681.51953125
2024-01-22,4386.60009765625,4850.43017578125,17815.099609375
2024-01-23,4415.259765625,4864.60009765625,17874.58984375
2024-01-24,4483.330078125,4868.5498046875,17875.830078125
2024-01-25,4472.259765625,4894.16015625,18002.619140625
2024-01-26,4342.10009765625,4890.97021484375,17995.029296875
2024-01-29,4388.27001953125,4927.93017578125,18119.630859375
2024-01-30,4319.990234375,4924.97021484375,18034.630859375
2024-01-31,4260.919921875,4845.64990234375,17889.560546875
2024-02-01,4280.47998046875,4906.18994140625,17968.109375
2024-02-02,4336.72998046875,4958.60986328125,18059.9296875
2024-02-05,4388.10009765625,4942.81005859375,18096.0703125
2024-02-06,4338.27001953125,4954.22998046875,
2024-02-07,4408.72998046875,4995.06005859375,
2024-02-08,4478.009765625,4997.91015625,
2024-02-09,4567.2998046875,5026.60986328125,
2024-02-12,4560.0400390625,5021.83984375,
2024-02-13,4468.18017578125,4953.169921875,
2024-02-14,4565.41015625,5000.6201171875,
2024-02-15,4558.10009765625,5029.72998046875,18644.5703125
2024-02-16,4527.68017578125,5005.56982421875,18607.25
2024-02-19,,,18635.80078125
2024-02-20,4456.8701171875,4975.509765625,18753.16015625
2024-02-21,4446.35986328125,4981.7998046875,18676.310546875
2024-02-22,4667.3701171875,5087.02978515625,18852.779296875
2024-02-23,4615.02978515625,5088.7998046875,18889.189453125
2024-02-26,4663.47021484375,5069.52978515625,18948.05078125
2024-02-27,4654.89013671875,5078.18017578125,18854.41015625
2024-02-28,4602.60009765625,5069.759765625,
2024-02-29,4726.919921875,5096.27001953125,18966.76953125
2024-03-01,4929.580078125,5137.080078125,18935.9296875
2024-03-04,4981.97021484375,5130.9501953125,19305.310546875
2024-03-05,4879.830078125,5078.64990234375,19386.919921875
2024-03-06,4997.93017578125,5104.759765625,19499.44921875
2024-03-07,5165.830078125,5157.35986328125,19693.51953125
2024-03-08,4957.77978515625,5123.68994140625,19785.3203125
2024-03-11,4890.2001953125,5117.93994140625,19726.080078125
2024-03-12,4992.509765625,5175.27001953125,19914.55078125
2024-03-13,4868.9501953125,5165.31005859375,19928.509765625
2024-03-14,4783.64990234375,5150.47998046875,19937.919921875
2024-03-15,4757.7099609375,5117.08984375,19682.5
2024-03-18,4757.60009765625,5149.419921875,19879.849609375
2024-03-19,4712.81005859375,5178.509765625,19857.19921875
2024-03-20,4788.18017578125,5224.6201171875,19784.44921875
2024-03-21,4897.8798828125,5241.52978515625,20199.08984375
2024-03-22,4908.259765625,5234.18017578125,20228.4296875
2024-03-25,4891.490234375,5218.18994140625,20192.25
2024-03-26,4851.8798828125,5203.580078125,20126.490234375
2024-03-27,4899.9501953125,5248.490234375,20200.119140625
2024-03-28,4905.2099609375,5254.35009765625,20146.55078125
2024-03-29,,,20294.44921875
2024-04-01,4962.10009765625,5243.77001953125,20222.330078125
2024-04-02,4886.93994140625,5205.81005859375,20466.5703125
2024-04-03,4903.5,5211.490234375,20337.599609375
2024-04-04,4756.06982421875,5147.2099609375,
2024-04-05,4819.1298828125,5204.33984375,
2024-04-08,4825.39013671875,5202.39013671875,20417.69921875
2024-04-09,4870.81005859375,5209.91015625,20796.19921875
2024-04-10,4790.35009765625,5160.64013671875,20763.529296875
2024-04-11,4906.3701171875,5199.06005859375,20753.220703125
2024-04-12,4745.0498046875,5123.41015625,20736.5703125
2024-04-15,4679.10009765625,5061.81982421875,20449.76953125
2024-04-16,4720.52978515625,5051.41015625,19901.9609375
2024-04-17,4567.31005859375,5022.2099609375,20213.330078125
2024-04-18,4491.7099609375,5011.1201171875,20301.19921875
2024-04-19,4306.8701171875,4967.22998046875,19527.119140625
2024-04-22,4381.919921875,5010.60009765625,19411.220703125
2024-04-23,4478.7998046875,5070.5498046875,19599.279296875
2024-04-24,4526.2001953125,5071.6298828125,20131.740234375
2024-04-25,4615.0400390625,5048.419921875,19857.419921875
2024-04-26,4735.2900390625,5099.9599609375,20120.509765625
2024-04-29,4765.7900390625,5116.169921875,20495.51953125
2024-04-30,4673.2998046875,5035.68994140625,20396.599609375
2024-05-01,4507.68017578125,5018.39013671875,
2024-05-02,4605.35009765625,5064.2001953125,20222.439453125
2024-05-03,4716.18994140625,5127.7900390625,20330.3203125
2024-05-06,4820.4501953125,5180.740234375,20523.310546875
2024-05-07,4784.8798828125,5187.7001953125,20653.529296875
2024-05-08,4790.3798828125,5187.669921875,20700.509765625
2024-05-09,4759.77001953125,5214.080078125,20560.76953125
2024-05-10,4808.02978515625,5222.68017578125,20708.83984375
2024-05-13,4823.08984375,5221.419921875,20857.7109375
